frame.time_delta_displayed,frame.len,frame.time_epoch
0.000000000,60,1485840088.140396000
0.924103000,92,1485840089.064499000
0.076106000,60,1485840089.140605000
0.159510000,60,1485840089.300115000
0.840831000,60,1485840090.140946000
